"auto_id","log_identifer","log_date","log_details"
"33044","바멍","2023-05-02 19:31:12","SUPPORT GOTCHA USE 15000 / REMAIN 27493821"
"33045","바멍","2023-05-02 19:31:14","SUPPORT GOTCHA USE 15000 / REMAIN 27478821"
"33046","바멍","2023-05-02 19:31:15","SUPPORT GOTCHA USE 15000 / REMAIN 27463821"
"33047","바멍","2023-05-02 19:31:16","SUPPORT GOTCHA USE 15000 / REMAIN 27448821"
"33048","바멍","2023-05-02 19:31:17","SUPPORT GOTCHA USE 15000 / REMAIN 27433821"
"33049","바멍","2023-05-02 19:31:19","SUPPORT GOTCHA USE 15000 / REMAIN 27418821"
"33050","바멍","2023-05-02 19:31:20","SUPPORT GOTCHA USE 15000 / REMAIN 27403821"
"33051","바멍","2023-05-02 19:31:21","SUPPORT GOTCHA USE 15000 / REMAIN 27388821"
"33052","바멍","2023-05-02 19:31:22","SUPPORT GOTCHA USE 15000 / REMAIN 27373821"
"33053","바멍","2023-05-02 19:31:24","SUPPORT GOTCHA USE 15000 / REMAIN 27358821"
"33054","바멍","2023-05-02 19:31:25","SUPPORT GOTCHA USE 15000 / REMAIN 27343821"
